datetime,demand,hour,day_of_week,is_weekend,event,temp,feelslike,precip,snow,snowdepth,is_snowing,is_raining
2020-03-04 03:00:00,12,3,2,0,0,37.1,28.3,0.0,0.0,0.0,0,0
2020-03-04 04:00:00,2732,4,2,0,0,38.0,28.9,0.0,0.0,0.0,0,0
2020-03-04 05:00:00,15211,5,2,0,0,37.1,26.7,0.0,0.0,0.0,0,0
2020-03-04 06:00:00,38626,6,2,0,0,37.1,27.7,0.0,0.0,0.0,0,0
2020-03-04 07:00:00,80690,7,2,0,0,35.9,26.7,0.0,0.0,0.0,0,0
2020-03-04 08:00:00,43938,8,2,0,0,37.1,27.9,0.0,0.0,0.0,0,0
2020-03-04 09:00:00,34140,9,2,0,1,38.9,28.9,0.0,0.0,0.0,0,0
2020-03-04 10:00:00,31689,10,2,0,0,41.0,32.5,0.0,0.0,0.0,0,0
2020-03-04 11:00:00,31154,11,2,0,0,41.0,31.5,0.0,0.0,0.0,0,0
2020-03-04 12:00:00,41496,12,2,0,0,44.0,35.3,0.0,0.0,0.0,0,0
2020-03-04 13:00:00,54075,13,2,0,0,44.0,35.2,0.0,0.0,0.0,0,0
2020-03-04 14:00:00,44687,14,2,0,0,42.1,33.7,0.0,0.0,0.0,0,0
2020-03-04 15:00:00,52937,15,2,0,0,42.1,32.8,0.0,0.0,0.0,0,0
2020-03-04 16:00:00,63211,16,2,0,0,39.8,30.6,0.0,0.0,0.0,0,0
2020-03-04 17:00:00,48513,17,2,0,0,38.9,29.3,0.0,0.0,0.0,0,0
2020-03-04 18:00:00,39475,18,2,0,0,38.0,30.3,0.0,0.0,0.0,0,0
2020-03-04 19:00:00,28240,19,2,0,0,37.1,26.9,0.0,0.0,0.0,0,0
2020-03-04 20:00:00,20103,20,2,0,0,35.9,29.3,0.0,0.0,0.0,0,0
2020-03-04 21:00:00,9298,21,2,0,0,35.0,28.6,0.019,0.0,0.0,1,1
2020-03-04 22:00:00,9042,22,2,0,0,35.0,28.1,0.0,0.0,0.0,0,0
2020-03-04 23:00:00,6080,23,2,0,0,34.1,26.1,0.0,0.0,0.0,0,0
2020-03-05 00:00:00,41,0,3,0,0,34.1,26.7,0.0,0.0,0.0,0,0
2020-03-05 01:00:00,0,1,3,0,0,34.1,25.8,0.0,0.0,0.0,0,0
2020-03-05 02:00:00,0,2,3,0,0,34.1,25.7,0.0,0.0,0.0,0,0
2020-03-05 03:00:00,0,3,3,0,0,34.0,24.5,0.0,0.0,0.0,0,0
2020-03-05 04:00:00,0,4,3,0,0,34.0,26.4,0.0,0.0,0.0,0,0
2020-03-05 05:00:00,0,5,3,0,0,34.0,27.4,0.0,0.0,0.0,0,0
2020-03-05 06:00:00,0,6,3,0,0,33.2,26.6,0.0,0.0,0.0,0,0
2020-03-05 07:00:00,0,7,3,0,0,33.2,25.7,0.0,0.0,0.0,0,0
2020-03-05 08:00:00,0,8,3,0,0,33.2,27.4,0.0,0.0,0.0,0,0
2020-03-05 09:00:00,0,9,3,0,0,34.1,26.8,0.0,0.0,0.0,0,0
2020-03-05 10:00:00,0,10,3,0,0,35.9,30.3,0.0,0.0,0.0,0,0
2020-03-05 11:00:00,0,11,3,0,0,38.0,32.2,0.0,0.0,0.0,0,0
2020-03-05 12:00:00,0,12,3,0,0,38.9,32.6,0.0,0.0,0.01,0,0
2020-03-05 13:00:00,0,13,3,0,1,41.0,35.3,0.0,0.0,0.01,0,0
2020-03-05 14:00:00,0,14,3,0,1,42.1,39.5,0.0,0.0,0.01,0,0
2020-03-05 15:00:00,0,15,3,0,0,44.0,44.0,0.0,0.0,0.01,0,0
2020-03-05 16:00:00,0,16,3,0,0,39.8,32.5,0.0,0.0,0.01,0,0
2020-03-05 17:00:00,0,17,3,0,0,38.0,30.5,0.0,0.0,0.01,0,0
2020-03-05 18:00:00,0,18,3,0,0,34.1,25.4,0.0,0.0,0.02,0,0
2020-03-05 19:00:00,0,19,3,0,0,33.2,26.6,0.0,0.0,0.02,0,0
2020-03-05 20:00:00,0,20,3,0,0,32.0,24.1,0.0,0.0,0.02,0,0
2020-03-05 21:00:00,0,21,3,0,0,32.0,24.7,0.0,0.0,0.02,0,0
2020-03-05 22:00:00,0,22,3,0,1,32.0,25.1,0.0,0.0,0.02,0,0
2020-03-05 23:00:00,0,23,3,0,0,32.0,24.9,0.0,0.0,0.02,0,0
2020-03-06 00:00:00,2805,0,4,0,0,32.0,25.6,0.0,0.0,0.03,0,0
2020-03-06 01:00:00,570,1,4,0,1,30.9,24.6,0.0,0.0,0.03,0,0
2020-03-06 02:00:00,223,2,4,0,0,30.9,24.7,0.0,0.0,0.03,0,0
2020-03-06 03:00:00,0,3,4,0,0,32.0,24.3,0.0,0.0,0.03,0,0
2020-03-06 04:00:00,1464,4,4,0,0,33.1,26.3,0.0,0.0,0.03,0,0
2020-03-06 05:00:00,16115,5,4,0,0,35.0,28.2,0.0,0.0,0.03,0,0
2020-03-06 06:00:00,39919,6,4,0,0,34.0,28.8,0.0,0.0,0.04,0,0
2020-03-06 07:00:00,85144,7,4,0,1,33.2,28.6,0.0,0.0,0.04,0,0
2020-03-06 08:00:00,51271,8,4,0,0,32.0,32.0,0.0,0.0,0.04,0,0
2020-03-06 09:00:00,34701,9,4,0,0,36.0,36.0,0.0,0.02,0.06,0,0
2020-03-06 10:00:00,30195,10,4,0,0,38.9,35.1,0.0,0.02,0.08,0,0
