datetime,actual_demand,predicted_demand
2022-10-15 00:00:00,5341,5440.8584
2022-10-15 01:00:00,1490,1506.8396
2022-10-15 02:00:00,54,110.21277
2022-10-15 03:00:00,86,121.76946
2022-10-15 04:00:00,2303,2330.863
2022-10-15 05:00:00,6396,6358.296
2022-10-15 06:00:00,7437,7485.238
2022-10-15 07:00:00,8973,9076.249
2022-10-15 08:00:00,16549,16356.452
2022-10-15 09:00:00,21782,21768.928
2022-10-15 10:00:00,34582,34269.89
2022-10-15 11:00:00,42614,42475.73
2022-10-15 12:00:00,38564,38580.957
2022-10-15 13:00:00,43219,43296.92
2022-10-15 14:00:00,45619,45568.85
2022-10-15 15:00:00,50634,50357.457
2022-10-15 16:00:00,50049,50206.28
